Date,Opening price,Highest price,Lowest price,Closing price,Ups and downs,Quote,Volume,Transaction amount,Amplitude,Turnover rate
2020-05-19,26.48,26.50,26.03,26.13,-0.08,-0.31,"680,787","178,648",1.79,0.70
2020-05-18,25.83,26.38,25.80,26.21,0.72,2.82,"1,385,653","362,707",2.28,1.43
2020-05-15,25.61,25.70,25.41,25.49,0.00,0.00,"460,156","117,565",1.14,0.47
2020-05-14,25.81,25.83,25.45,25.49,-0.44,-1.70,"705,512","180,603",1.47,0.73
2020-05-13,25.81,25.93,25.63,25.93,0.00,0.00,"628,099","161,650",1.16,0.65
2020-05-12,26.34,26.38,25.83,25.93,-0.48,-1.82,"776,058","201,828",2.08,0.80
2020-05-11,26.20,26.48,26.09,26.41,0.15,0.57,"795,067","209,481",1.49,0.82
2020-05-08,26.17,26.37,25.91,26.26,0.29,1.12,"913,214","238,680",1.77,0.94
2020-05-07,26.18,26.18,25.88,25.97,-0.29,-1.10,"573,165","148,918",1.14,0.59
2020-05-06,26.20,26.35,25.95,26.26,-0.54,-2.01,"923,065","240,941",1.49,0.95
2020-04-30,26.90,27.15,26.70,26.80,-0.06,-0.22,"696,878","187,588",1.68,0.72
2020-04-29,26.40,26.98,26.26,26.86,0.47,1.78,"801,688","214,319",2.73,0.82
2020-04-28,26.15,26.50,25.77,26.39,0.51,1.97,"779,427","204,312",2.82,0.80
2020-04-27,25.71,26.17,25.56,25.88,0.20,0.78,"710,753","184,063",2.38,0.73
2020-04-24,25.95,25.96,25.53,25.68,-0.32,-1.23,"497,940","127,939",1.65,0.51
2020-04-23,26.19,26.25,25.90,26.00,-0.13,-0.50,"450,519","117,199",1.34,0.46
2020-04-22,25.82,26.16,25.66,26.13,0.11,0.42,"525,407","136,209",1.92,0.54
2020-04-21,26.35,26.54,25.75,26.02,-0.56,-2.11,"790,727","205,757",2.97,0.81
2020-04-20,26.78,26.81,26.05,26.58,-0.14,-0.52,"850,123","223,905",2.84,0.87
2020-04-17,26.78,27.03,26.55,26.72,0.14,0.53,"838,133","224,615",1.81,0.86
2020-04-16,26.52,26.76,26.40,26.58,-0.12,-0.45,"502,389","133,365",1.35,0.52
2020-04-15,27.20,27.23,26.55,26.70,-0.65,-2.38,"703,593","188,538",2.49,0.72
2020-04-14,27.10,27.75,27.02,27.35,0.31,1.15,"642,419","175,985",2.70,0.66
2020-04-13,26.74,27.13,26.61,27.04,0.16,0.60,"432,649","116,746",1.93,0.44
2020-04-10,26.84,27.34,26.59,26.88,0.19,0.71,"624,603","168,556",2.81,0.64
2020-04-09,27.10,27.16,26.60,26.69,-0.27,-1.00,"387,263","103,655",2.08,0.40
